"dec_lon","dec_lat","gps","plot","species","dbh_cm","height_m","dbh_height"
15.484018,-2.504083,"1848_3_1","elephants","HA",10.1,4,0.40226138245468
15.484042,-2.5041,"1849_3_1","elephants","HA",9.6,4,0.380211241711606
15.482377,-2.502806,"185_1_1","elephants","HA",10.5,4.2,0.397940008672038
15.484595,-2.501413,"185_2_1","elephants","HA",11.7,3.8,0.488402265129351
15.48402,-2.504627,"1850_3_1","elephants","HA",9.7,3,0.509650479546582
15.4842,-2.504633,"1851_3_1","elephants","HA",12.2,3.1,0.594998136840476
15.484195,-2.504636,"1852_3_1","elephants","HA",10.9,3,0.560305243220961
15.484193,-2.504036,"1853_3_1","elephants","HA",9.2,3.1,0.472426133511283
15.484397,-2.503874,"1854_3_1","elephants","HA",9.4,3,0.496006598880036
15.484427,-2.50389,"1855_3_1","elephants","HA",10.6,3.1,0.533944171430498
15.484469,-2.504002,"1856_3_1","elephants","HA",9.1,3,0.481920137601431
15.48454,-2.503926,"1857_3_1","elephants","HA",9.1,3.4,0.427562475278838
15.484582,-2.503926,"1858_3_1","elephants","HA",9.8,3.5,0.447158031342219
15.484598,-2.503863,"1859_3_1","elephants","HA",10.5,4,0.419129307741976
15.482294,-2.502857,"186_1_1","elephants","HA",9.2,4.6,0.301029995663981
15.484621,-2.501336,"186_2_1","elephants","HA",11,3.4,0.50991376811597
15.484622,-2.503835,"1860_3_1","elephants","HA",9.2,3.1,0.472426133511283
15.484672,-2.503769,"1861_3_1","elephants","HA",10.2,3.1,0.517238477927645
15.484717,-2.503771,"1862_3_1","elephants","Vitex",9.7,3,0.509650479546582
15.484734,-2.503732,"1863_3_1","elephants","HA",9.4,3.1,0.481766159765426
15.484646,-2.503914,"1864_3_1","elephants","HA",10.1,4,0.40226138245468
15.48485,-2.504237,"1865_3_1","elephants","HA",10.3,3.1,0.5214755308709
15.484861,-2.504164,"1866_3_1","elephants","HA",11.3,3.3,0.534564503605532
15.484878,-2.504186,"1867_3_1","elephants","HA",10.5,3.2,0.516039320750032
15.484882,-2.504226,"1868_3_1","elephants","HA",10,3,0.522878745280338
15.484877,-2.504176,"1869_3_1","elephants","HA",11.1,3.2,0.540173000466751
15.482372,-2.50261,"187_1_1","elephants","HA",9.5,5.2,0.261720261654049
15.484641,-2.50133,"187_2_1","elephants","HA",14.1,3.4,0.617740195613125
15.484955,-2.504038,"1870_3_1","elephants","HA",9.8,4,0.389166084364532
15.484992,-2.504033,"1871_3_1","elephants","HA",9.9,4.2,0.372385904199649
